12/01/2022;23;20;1;26;44;4
10/01/2022;14;43;34;41;35;9
08/01/2022;22;42;43;17;25;10
05/01/2022;17;45;30;32;6;4
03/01/2022;33;36;34;38;22;5
01/01/2022;30;36;14;6;39;5
29/12/2021;21;18;33;49;48;7
27/12/2021;32;20;6;12;14;8
25/12/2021;6;25;48;21;37;10
22/12/2021;41;20;46;11;24;1
20/12/2021;22;23;12;47;25;1
18/12/2021;10;46;2;31;38;8
15/12/2021;34;47;11;37;38;8
13/12/2021;23;38;36;18;19;1
11/12/2021;16;45;34;42;26;9
08/12/2021;28;26;1;30;16;4
06/12/2021;29;16;36;7;15;6
04/12/2021;23;18;34;5;44;5
01/12/2021;26;18;3;49;46;6
29/11/2021;30;26;35;44;31;4
27/11/2021;25;28;46;12;27;4
24/11/2021;14;34;39;24;47;8
22/11/2021;19;12;8;41;16;5
20/11/2021;44;9;18;17;42;8
17/11/2021;37;40;36;4;43;6
15/11/2021;34;7;8;41;42;8
13/11/2021;39;13;12;31;26;6
10/11/2021;31;12;9;40;41;2
08/11/2021;44;32;11;48;7;3
06/11/2021;19;2;18;22;4;3
03/11/2021;7;39;31;38;42;10
01/11/2021;47;27;26;43;1;6
30/10/2021;46;11;43;12;30;9
27/10/2021;41;16;44;27;15;9
25/10/2021;31;48;43;37;3;10
23/10/2021;6;36;35;10;48;9
20/10/2021;26;35;16;22;42;4
18/10/2021;41;27;36;35;9;6
16/10/2021;23;15;46;5;37;10
13/10/2021;21;20;19;43;49;10
11/10/2021;26;7;1;9;28;3
09/10/2021;22;29;19;15;34;3
06/10/2021;44;34;20;8;41;2
04/10/2021;44;15;5;19;7;1
02/10/2021;6;46;35;20;8;9
29/09/2021;6;39;28;13;33;10
27/09/2021;12;26;31;40;37;3
25/09/2021;20;35;49;18;16;1
22/09/2021;5;40;13;14;9;1
20/09/2021;12;10;45;15;31;5
18/09/2021;39;38;21;2;9;2
15/09/2021;48;22;4;30;27;7
13/09/2021;4;30;24;21;40;4
11/09/2021;5;3;49;33;15;8
08/09/2021;7;34;27;12;15;4
06/09/2021;3;31;36;13;40;9
04/09/2021;41;49;30;45;35;3
01/09/2021;49;27;32;24;17;7
30/08/2021;32;34;18;44;3;9
28/08/2021;48;43;46;11;8;9
25/08/2021;19;9;29;26;3;8
23/08/2021;13;22;31;11;21;6
21/08/2021;46;8;2;19;29;2
18/08/2021;4;7;12;24;25;2
16/08/2021;22;27;13;10;49;4
14/08/2021;4;28;42;49;35;7
11/08/2021;43;13;21;5;6;4
09/08/2021;37;43;45;28;38;3
07/08/2021;7;24;36;6;47;10
04/08/2021;21;36;22;20;44;10
02/08/2021;24;44;46;42;7;2
31/07/2021;22;6;46;7;17;3
28/07/2021;1;28;3;29;8;6
26/07/2021;42;5;34;21;37;10
24/07/2021;24;40;5;31;22;9
21/07/2021;27;25;6;37;32;9
19/07/2021;3;28;15;4;2;5
17/07/2021;31;8;47;11;17;6
14/07/2021;36;18;38;31;29;10
12/07/2021;38;31;8;37;30;1
10/07/2021;43;3;38;42;46;1
07/07/2021;37;18;8;44;46;2
05/07/2021;43;36;3;32;45;2
03/07/2021;33;48;13;2;19;2
30/06/2021;8;44;6;48;31;9
28/06/2021;4;28;48;8;15;1
26/06/2021;37;24;38;13;45;6
23/06/2021;1;16;6;3;40;1
21/06/2021;44;21;25;18;47;10
19/06/2021;3;44;46;27;14;6
16/06/2021;22;23;35;46;3;9
14/06/2021;40;12;47;21;19;7
12/06/2021;9;2;5;29;10;1
09/06/2021;16;33;41;2;24;8
07/06/2021;6;28;34;7;11;8
05/06/2021;45;16;6;37;25;9
02/06/2021;33;34;25;3;26;6
31/05/2021;25;3;13;32;47;9
29/05/2021;32;4;36;44;9;3
26/05/2021;20;1;22;5;42;6
24/05/2021;11;44;47;29;7;9
22/05/2021;9;2;45;19;7;10
19/05/2021;28;17;41;3;23;3
17/05/2021;23;42;3;17;47;4
15/05/2021;7;31;29;24;47;3
12/05/2021;19;11;22;36;9;1
10/05/2021;44;12;13;17;27;10
08/05/2021;41;35;40;6;24;6
05/05/2021;36;48;46;41;8;6
03/05/2021;44;8;11;48;37;6
01/05/2021;27;25;5;34;38;7
28/04/2021;4;15;10;49;12;6
26/04/2021;2;34;41;32;8;6
24/04/2021;41;12;26;42;36;7
21/04/2021;45;31;6;49;39;4
19/04/2021;49;17;36;44;27;1
17/04/2021;38;37;17;34;30;1
14/04/2021;27;25;20;23;47;6
12/04/2021;43;14;26;7;11;7
10/04/2021;9;35;15;8;4;8
07/04/2021;35;19;9;16;43;4
05/04/2021;32;22;2;12;15;8
03/04/2021;17;1;38;2;45;2
31/03/2021;2;27;24;35;22;5
29/03/2021;41;28;18;13;38;1
27/03/2021;16;11;18;8;10;5
24/03/2021;22;38;28;37;9;10
22/03/2021;15;6;34;39;24;4
20/03/2021;42;18;14;4;27;3
17/03/2021;45;18;46;3;30;3
15/03/2021;29;38;33;15;41;2
13/03/2021;47;22;19;4;10;8
10/03/2021;26;42;33;20;34;9
08/03/2021;24;8;38;19;40;10
06/03/2021;11;22;3;13;30;8
03/03/2021;38;8;41;49;19;7
01/03/2021;4;14;21;47;8;9
27/02/2021;4;29;42;43;11;10
24/02/2021;47;18;41;10;19;2
22/02/2021;3;37;26;15;24;7
20/02/2021;21;36;19;39;49;5
17/02/2021;34;31;35;41;29;8
15/02/2021;13;22;17;6;12;7
13/02/2021;13;17;31;28;9;10
10/02/2021;44;13;29;15;33;4
08/02/2021;19;10;9;29;5;8
06/02/2021;44;42;15;9;47;10
03/02/2021;17;31;26;37;21;10
01/02/2021;1;18;45;17;21;9
30/01/2021;17;5;33;9;37;4
27/01/2021;27;44;25;23;6;6
25/01/2021;13;31;49;7;3;5
23/01/2021;1;19;13;24;48;5
20/01/2021;21;11;22;40;32;9
18/01/2021;5;43;10;48;25;10
16/01/2021;44;20;14;22;36;2
13/01/2021;32;42;30;17;41;5
11/01/2021;33;46;8;17;1;5
09/01/2021;49;12;27;11;7;1
06/01/2021;41;21;32;47;11;9
04/01/2021;31;39;30;49;19;8
02/01/2021;5;27;7;24;41;10
30/12/2020;36;20;13;31;38;1
28/12/2020;41;34;42;22;1;5
26/12/2020;31;3;40;35;2;7
23/12/2020;5;3;39;31;38;9
21/12/2020;10;31;36;37;44;5
19/12/2020;30;29;49;23;10;5
16/12/2020;21;6;41;17;16;9
14/12/2020;47;48;13;34;2;6
12/12/2020;14;31;9;45;23;6
09/12/2020;47;17;48;39;24;7
07/12/2020;45;27;48;4;38;4
05/12/2020;34;20;14;35;9;1
02/12/2020;23;14;40;46;27;1
30/11/2020;28;9;26;29;18;3
28/11/2020;9;25;2;47;35;10
25/11/2020;1;26;14;31;10;4
23/11/2020;15;20;12;6;1;1
21/11/2020;49;17;44;5;46;4
18/11/2020;28;11;14;43;41;8
16/11/2020;7;47;16;33;42;7
14/11/2020;40;26;17;24;43;9
11/11/2020;15;17;10;37;16;9
09/11/2020;26;18;41;38;5;10
07/11/2020;45;5;48;42;30;9
04/11/2020;29;10;16;14;9;1
02/11/2020;42;43;38;33;31;3
31/10/2020;22;35;9;28;13;5
28/10/2020;25;43;30;2;19;9
26/10/2020;33;7;8;12;22;5
24/10/2020;8;25;4;12;45;2
21/10/2020;35;48;33;21;15;1
19/10/2020;7;35;48;28;25;1
17/10/2020;28;23;24;9;20;4
14/10/2020;19;42;32;26;39;6
12/10/2020;18;7;21;42;11;3
10/10/2020;48;26;31;47;42;8
07/10/2020;17;30;6;49;19;2
05/10/2020;6;22;19;5;9;5
03/10/2020;31;36;9;33;18;2
30/09/2020;26;24;49;32;2;5
28/09/2020;33;22;44;6;35;2
26/09/2020;4;31;49;8;39;9
23/09/2020;11;5;25;23;33;5
21/09/2020;46;41;38;19;16;9
19/09/2020;33;42;27;46;32;7
16/09/2020;28;19;49;23;17;7
14/09/2020;23;49;5;13;32;2
12/09/2020;16;46;12;21;24;2
09/09/2020;24;48;20;29;45;3
07/09/2020;37;35;31;44;14;7
05/09/2020;22;15;19;24;46;3
02/09/2020;14;23;21;47;3;3
31/08/2020;7;16;17;4;11;10
29/08/2020;23;15;38;21;39;4
26/08/2020;13;45;4;40;31;3
24/08/2020;28;18;22;37;19;2
22/08/2020;7;11;5;32;33;5
19/08/2020;35;11;13;4;34;1
17/08/2020;6;1;39;48;40;6
15/08/2020;5;41;3;42;15;7
12/08/2020;17;47;30;3;44;3
10/08/2020;28;38;2;1;11;6
08/08/2020;35;42;49;4;6;9
05/08/2020;46;32;22;15;17;8
03/08/2020;43;48;42;23;30;7
01/08/2020;17;18;25;38;9;9
29/07/2020;47;46;7;19;39;5
27/07/2020;19;24;45;15;25;3
25/07/2020;18;10;6;15;48;4
22/07/2020;4;28;38;20;18;1
20/07/2020;8;42;22;28;26;2
18/07/2020;11;42;22;34;43;4
15/07/2020;6;12;4;35;44;3
13/07/2020;24;3;35;46;2;8
11/07/2020;32;6;35;28;40;7
08/07/2020;30;48;37;9;26;8
06/07/2020;2;11;42;30;35;6
04/07/2020;23;13;27;44;36;6
